inc_pc_c2_value,inc_pc_c2_grid
.0000562386679313,-2225
.000206440733808,1321.285714285714
.0011130267074484,4867.571428571428
.0032906227968347,8413.857142857143
.0065086903626484,11960.14285714286
.0118998737556393,15506.42857142857
.0178787464885905,19052.71428571429
.0239173360482469,22599
.0286919998774306,26145.28571428571
.0319269326650839,29691.57142857143
.032723324042906,33237.85714285714
.0340561014603994,36784.14285714286
.0335726487825837,40330.42857142857
.0317361124084009,43876.71428571428
.0288093371285763,47423
.0257300139207739,50969.28571428571
.0222843045569776,54515.57142857143
.0216481596499792,58061.85714285714
.0218517933321938,61608.14285714286
.0231071895321712,65154.42857142857
.0245052774734616,68700.71428571429
.0252384245830839,72247
.0245107614946263,75793.28571428571
.0257828121076347,79339.57142857142
.0254805878142828,82885.85714285714
.0232352433247363,86432.14285714286
.0186074549331531,89978.42857142857
.0131921673229645,93524.71428571429
.0072065034896549,97071
.003208540822669,100617.2857142857
.0032901275969458,104163.5714285714
.0039972293993131,107709.8571428571
.0046917351458452,111256.1428571429
.0048329006582993,114802.4285714286
.0039047662987293,118348.7142857143
.0026875072518602,121895
.0018696375496331,125441.2857142857
.0015938467963901,128987.5714285714
.0016507015081972,132533.8571428571
.0016949906920729,136080.1428571428
.0016697962521449,139626.4285714286
.0012605250231112,143172.7142857143
.0009157498912486,146719
.0005893715110995,150265.2857142857
.0003696800200261,153811.5714285714
.000397094760689,157357.8571428571
.0003636269644828,160904.1428571428
.0002260461454732,164450.4285714286
.0001432341994784,167996.7142857143
.0001165579206345,171543
